,-70,37,21,-50,5,15,-40,3,29,-29,-9,32,-10,-21,9,-6,-11,11,2,-6,2,1,0,0,-4,4,0,-12,-2,-2,-18,-6,5,-11,-6,5,-2,1,10,-11,-73,34,19,-46,19,31,-35,4,31,-30,-14,27,-10,-13,17,-7,-18,7,2,-6,2,0,0,-1,-6,6,7,-10,-6,-3,-11,4,10,-15,-14,1,-6,-6,4,-11
,-74,36,17,-49,17,25,-43,6,43,-20,-13,22,-18,-17,25,3,-14,8,6,-4,2,1,0,0,-4,6,8,-4,0,-2,-15,-4,3,-11,-5,6,-7,-6,7,-11,-73,35,16,-51,15,25,-41,8,46,-15,-8,25,-18,-19,20,0,-13,12,7,-5,2,1,0,1,-3,5,3,-7,5,9,-11,-6,4,-8,-3,6,-4,-3,7,-11
,-73,36,17,-50,18,27,-42,1,32,-29,-12,29,-12,-12,26,-3,-20,9,7,-6,0,0,1,2,-2,6,6,-5,5,9,-6,0,8,-6,-1,8,-8,-10,3,-11,-73,37,19,-50,13,27,-35,10,43,-20,-16,17,-16,-11,22,-2,-13,10,3,-8,1,0,1,0,-2,7,4,-9,3,6,-7,4,11,-7,-2,7,-7,-6,4,-11
,-73,37,16,-55,14,32,-35,4,36,-20,-1,41,-4,-18,12,-4,-12,9,1,-9,0,0,1,1,-3,4,2,-8,5,5,-12,-1,9,-8,-3,8,-3,-3,5,-11,-73,32,12,-53,12,21,-46,1,42,-11,0,32,-11,-18,14,-4,-10,12,3,-7,2,1,0,0,-5,6,9,-1,10,10,-10,0,13,-3,-4,4,-6,-2,8,-11
,-74,34,19,-47,15,23,-46,-4,35,-18,-10,22,-12,-11,19,-4,-14,7,-2,-10,1,1,0,-1,-4,6,6,-6,3,1,-17,-3,11,-5,-4,6,-4,-3,6,-11,-74,37,20,-49,17,27,-43,-3,32,-21,-4,32,-8,-8,25,-4,-18,8,1,-10,0,1,0,-1,-5,2,1,-9,2,-1,-20,-7,6,-10,-7,9,2,-2,5,-11
,-75,34,15,-53,14,28,-38,7,44,-16,-10,25,-14,-15,21,-3,-19,4,0,-9,1,1,0,0,-3,4,3,-8,0,0,-15,-6,1,-17,-12,3,-4,-5,1,-11,-75,33,18,-48,16,26,-36,13,53,-4,0,28,-14,-18,13,-7,-16,7,-1,-9,-1,-1,1,0,-4,7,5,-12,-3,3,-10,-4,1,-12,-3,9,-4,-7,2,-11
,-75,35,19,-49,14,22,-49,-6,35,-17,-10,21,-19,-21,9,-13,-18,9,3,-7,1,0,1,2,-2,7,8,-6,2,9,-3,-1,3,-7,0,10,1,4,11,-11,-76,33,14,-49,23,36,-34,9,48,-11,-6,23,-20,-24,7,-17,-20,11,6,-6,2,1,1,1,-3,9,9,-10,-3,7,-6,-4,2,-12,-10,2,-4,-1,7,-11
,-79,32,15,-49,23,34,-42,2,46,-14,-16,16,-18,-21,8,-14,-20,6,1,-6,3,1,0,0,-3,8,10,-4,4,11,3,14,19,-1,0,9,0,1,9,-11,-75,37,18,-48,26,41,-34,3,38,-22,-15,23,-9,-11,17,-8,-18,6,0,-8,2,1,0,-1,-6,5,8,-4,2,3,-8,3,10,-4,1,9,-4,-1,10,-11
,-71,39,26,-37,27,37,-29,9,35,-27,-19,12,-26,-21,14,-9,-19,6,-2,-9,2,1,0,-2,-8,4,5,-13,-11,-7,-17,-5,9,1,4,8,-4,-1,7,-9,-71,29,29,-28,10,20,-16,20,32,-13,-1,6,-36,-22,2,-27,-20,12,-1,-10,3,1,1,-1,-9,3,8,-8,-5,3,-9,-4,7,1,3,8,-1,1,5,-10
,-74,31,30,-31,9,18,-27,5,18,-28,-15,1,-32,-14,12,-21,-20,11,-2,-14,-1,0,1,0,-8,2,7,-7,-2,3,-13,-8,5,-4,-3,6,0,-2,2,-11,-70,41,32,-36,17,23,-39,-2,26,-26,-12,19,-17,-17,6,-22,-25,4,-5,-12,1,1,0,0,-6,1,1,-13,-4,3,-11,-5,4,-10,-9,0,-7,-5,3,-11
