 -12,  -84,  37,  21,  -56,  13,  36,  -30,  13,  53,  -13,  -12,  32,  0,  -13,  15,  -4,  -21,  -2,  -5, 
 -10,  0,  0,  0,  0,  -5,  3,  2,  -11,  2,  15,  -1,  -4,  4,  -2,  4,  12,  2,  -2,  3, 
 -12,  -87,  37,  25,  -46,  27,  46,  -26,  14,  49,  -19,  -18,  20,  -12,  -12,  17,  -8,  -18,  6,  -1, 
 -11,  0,  0,  0,  -1,  -6,  2,  -2,  -15,  0,  8,  -8,  -1,  8,  -9,  -4,  12,  1,  -2,  6, 
 -12,  -85,  39,  30,  -43,  24,  40,  -30,  10,  42,  -22,  -15,  23,  -15,  -16,  14,  -11,  -20,  8,  0, 
 -11,  -1,  0,  0,  -1,  -8,  3,  6,  -5,  5,  10,  -8,  -2,  9,  -5,  -4,  9,  1,  0,  7, 
 -11,  -80,  37,  26,  -48,  12,  29,  -34,  11,  57,  11,  12,  31,  -10,  -17,  3,  -21,  -19,  11,  2, 
 -9,  0,  0,  0,  -1,  -7,  3,  0,  -12,  6,  16,  -2,  1,  8,  -10,  -6,  9,  -1,  -4,  7, 
 -11,  -72,  35,  20,  -50,  4,  14,  -49,  -7,  43,  8,  9,  19,  -15,  -5,  16,  -15,  -15,  11,  0, 
 -8,  2,  0,  1,  -2,  -9,  4,  3,  -15,  3,  16,  -8,  -6,  7,  -9,  -8,  8,  -3,  -9,  2, 
 -7,  -47,  38,  11,  -54,  -13,  -20,  -76,  -17,  48,  22,  14,  11,  -21,  -7,  11,  -17,  -14,  8,  -7, 
 -10,  3,  -1,  1,  -1,  -10,  5,  8,  -10,  3,  17,  0,  1,  10,  -2,  0,  10,  -5,  -9,  4, 
 -6,  -35,  32,  4,  -49,  -12,  -33,  -90,  -27,  47,  30,  17,  4,  -25,  -10,  0,  -21,  -7,  7,  -16, 
 -14,  4,  0,  2,  0,  -12,  1,  5,  -13,  -1,  11,  -4,  4,  15,  -4,  -2,  15,  -2,  -11,  3, 
 -5,  -30,  31,  3,  -44,  -9,  -35,  -97,  -33,  52,  46,  26,  2,  -22,  -1,  3,  -26,  -10,  9,  -15, 
 -13,  5,  0,  2,  1,  -12,  0,  6,  -10,  -3,  7,  -4,  6,  11,  -11,  -5,  14,  -3,  -15,  0, 
